File Name,F-Scores,Compute Time,Real Time
TechnoDrum01_00#MIX.xml,"[0.5866666666666667, 0.5777777777777777, 0.5688888888888888, 0.5688888888888888, 0.5599999999999999, 0.551111111111111, 0.5155555555555555, 0.48000000000000004, 0.40888888888888886, 0.30222222222222217, 0.29333333333333333]",14.735,19.125011337868482
TechnoDrum01_01#MIX.xml,"[0.75, 0.75, 0.75, 0.7374999999999999, 0.7125, 0.7, 0.6875000000000001, 0.675, 0.5874999999999999, 0.2375, 0.0625]",8.953,16.941179138321996
TechnoDrum01_02#MIX.xml,"[0.6447368421052632, 0.6447368421052632, 0.6447368421052632, 0.6447368421052632, 0.6447368421052632, 0.6184210526315791, 0.6184210526315791, 0.5657894736842106, 0.46052631578947373, 0.3684210526315789, 0.17105263157894735]",18.922,18.00002267573696
TechnoDrum01_03#MIX.xml,"[0.6997084548104956, 0.6997084548104956, 0.6997084548104956, 0.6822157434402332, 0.6822157434402332, 0.6180758017492711, 0.6064139941690962, 0.6064139941690962, 0.5306122448979592, 0.20408163265306123, 0.0641399416909621]",14.157,18.00002267573696
TechnoDrum01_04#MIX.xml,"[0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6996197718631179, 0.6692015209125475, 0.5475285171102662, 0.47148288973384034]",31.031,20.470589569160996
TechnoDrum01_05#MIX.xml,"[0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.7906976744186047, 0.744186046511628, 0.48837209302325585, 0.1627906976744186]",18.672,16.421065759637187
TechnoDrum01_06#MIX.xml,"[0.6263498920086393, 0.6263498920086393, 0.6263498920086393, 0.6263498920086393, 0.6177105831533478, 0.6090712742980561, 0.5831533477321814, 0.5226781857451404, 0.4449244060475162, 0.3542116630669546, 0.1814254859611231]",9.312,17.42859410430839
TechnoDrum01_07#MIX.xml,"[0.6728110599078341, 0.6728110599078341, 0.663594470046083, 0.663594470046083, 0.663594470046083, 0.6543778801843319, 0.6451612903225806, 0.5806451612903225, 0.37788018433179726, 0.16589861751152074, 0.036866359447004615]",19.078,19.142879818594103
TechnoDrum01_08#MIX.xml,"[0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.8785046728971964, 0.7943925233644858, 0.6542056074766355, 0.3457943925233645, 0.14018691588785048]",12.875,16.571451247165534
TechnoDrum01_09#MIX.xml,"[0.46017699115044247, 0.46017699115044247, 0.46017699115044247, 0.46017699115044247, 0.45132743362831856, 0.4247787610619469, 0.4247787610619469, 0.3893805309734514, 0.35398230088495575, 0.2743362831858407, 0.15929203539823006]",31.218,16.571451247165534
TechnoDrum02_00#MIX.xml,"[0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.5428571428571428, 0.37142857142857144, 0.37142857142857144, 0]",4.032,7.618662131519274
WaveDrum01_00#MIX.xml,"[0.7475409836065574, 0.7475409836065574, 0.7475409836065574, 0.7475409836065574, 0.740983606557377, 0.7278688524590164, 0.6950819672131148, 0.6295081967213115, 0.5180327868852459, 0.43278688524590164, 0.3344262295081967]",17.312,21.375011337868482
WaveDrum01_01#MIX.xml,"[0.5728155339805825, 0.5728155339805825, 0.5728155339805825, 0.5728155339805825, 0.5631067961165049, 0.5631067961165049, 0.5533980582524273, 0.4951456310679611, 0.3883495145631068, 0.30097087378640774, 0.24271844660194172]",13.781,16.941179138321996
WaveDrum01_02#MIX.xml,"[0.7490347490347491, 0.7490347490347491, 0.7490347490347491, 0.7490347490347491, 0.7490347490347491, 0.7335907335907336, 0.7335907335907336, 0.7335907335907336, 0.6718146718146718, 0.5945945945945946, 0.46332046332046334]",13.844,18.352947845804987
